time,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
0 days 00:00:01.800000,310,215,396,216
0 days 00:00:02,322,209,409,219
0 days 00:00:02.200000,326,207,417,225
0 days 00:00:02.400000,316,208,415,229
0 days 00:00:02.600000,319,200,416,221
0 days 00:00:02.800000,320,188,417,209
0 days 00:00:03,322,185,420,207
0 days 00:00:03.200000,325,186,417,210
0 days 00:00:03.400000,315,189,411,208
0 days 00:00:03.800000,317,190,439,241
0 days 00:00:04,317,189,417,206
0 days 00:00:04.200000,316,191,416,207
0 days 00:00:04.400000,314,192,417,206
0 days 00:00:04.600000,309,195,412,208
0 days 00:00:04.800000,304,197,409,208
0 days 00:00:05,303,197,408,208
0 days 00:00:05.200000,303,202,407,212
0 days 00:00:05.400000,300,202,405,211
0 days 00:00:05.600000,303,201,407,210
0 days 00:00:05.800000,303,201,406,210
0 days 00:00:06,298,205,401,212
0 days 00:00:06.200000,297,203,400,210
0 days 00:00:06.400000,300,204,403,211
0 days 00:00:06.600000,302,204,403,211
0 days 00:00:06.800000,303,204,403,212
0 days 00:00:07,300,204,399,211
0 days 00:00:07.400000,297,206,400,212
0 days 00:00:07.600000,296,206,399,213
0 days 00:00:07.800000,294,206,397,211
0 days 00:00:09.400000,293,209,395,212
0 days 00:00:09.600000,294,209,398,213
0 days 00:00:09.800000,295,207,397,213
0 days 00:00:10,295,208,397,213
0 days 00:00:10.200000,293,209,395,213
0 days 00:00:11.200000,287,209,388,212
0 days 00:00:11.400000,290,209,391,212
0 days 00:00:11.600000,290,209,392,213
0 days 00:00:11.800000,289,209,391,213
0 days 00:00:12,289,210,393,213
0 days 00:00:12.200000,290,210,393,212
0 days 00:00:12.400000,288,210,391,212
0 days 00:00:12.600000,286,210,388,210
0 days 00:00:13,289,203,394,205
0 days 00:00:13.200000,290,208,392,211
0 days 00:00:13.400000,286,210,388,210
0 days 00:00:13.600000,283,211,389,212
0 days 00:00:13.800000,283,211,387,212
0 days 00:00:14,283,211,388,212
0 days 00:00:14.200000,285,211,389,212
0 days 00:00:14.400000,286,212,390,212
0 days 00:00:14.600000,286,212,390,213
0 days 00:00:14.800000,285,212,388,213
0 days 00:00:15,284,212,387,212
0 days 00:00:15.200000,284,212,389,212
0 days 00:00:15.400000,285,211,390,212
0 days 00:00:15.600000,285,211,390,212
0 days 00:00:15.800000,288,205,390,207
0 days 00:00:16,277,174,375,177
0 days 00:00:16.200000,271,173,364,175
0 days 00:00:16.400000,256,179,346,179
0 days 00:00:16.600000,248,180,338,173
0 days 00:00:16.800000,246,180,337,174
0 days 00:00:17,239,180,331,172
0 days 00:00:17.200000,258,189,353,184
0 days 00:00:17.400000,278,195,373,191
